,Date,DaySin,DayCos,Meal,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,MealNum,Item1Num,Item2Num,Item3Num,Item4Num,Item5Num,Item6Num,Item7Num,Item8Num
0,08/08/22,0,1,Breakfast,CORNFLAKES,BOILED EGG (E &D),"UTTAPAM , SAMBHAR",COCONUT CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA,PEARS","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,0,0,0,0,0,0,0
1,08/08/22,0,1,Lunch,"GREEN SALAD,MASALA LACCHA ONION",CHICKEN DAHI WALA (N&P&D),PALAK PANEER (D),YELLOW MOONG DAL (V),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD",-1,1,1,1,1,1,1,1,1,-1
2,08/08/22,0,1,Snacks,CHILLI GARLIC POPCORN (V),NIMBU PANI,-1,-1,-1,-1,-1,-1,2,2,2,-1,-1,-1,-1,-1,-1
3,08/08/22,0,1,Dinner,"GREEN SALAD , BEETROOT SEASME SALAD",MAC & CHEESE (D),LAUKI CHANA MASALA,DAL TADKA,PLAIN RICE,"TAWA ROTI,GARLIC BREAD",ACHAR,TIRAMISU (D),3,3,3,2,2,2,2,2,1
4,09/08/22,0.781831482,0.623489802,Breakfast,MUESLI,EGG BHURJI (E),BANANA PANCAKE (D),"HONEY,CHOCOLATE SYRUP","BREAD, BUTTER (D), JAM","BANANA,PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,4,3,3,0,3,0,0
5,09/08/22,0.781831482,0.623489802,Lunch,"GREEN SALAD,SHARBAT",KARELA MASALA (V),SOYA CHAAP CURRY (D),DAL BHUKARA (D),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD",CHOCOLATE ICE CREAM (D),1,5,5,4,4,1,1,1,2
6,09/08/22,0.781831482,0.623489802,Snacks,VEG BURGER (D),STRAWBERRY SHAKE (D),-1,-1,-1,-1,-1,-1,2,6,6,-1,-1,-1,-1,-1,-1
7,09/08/22,0.781831482,0.623489802,Dinner,"GREEN SALAD, MASALA LACCHA ONION",ACHARI ALOO,RED MALKA  DAL,MIX RAITA (D),SOYA BIRYANI,TAWA ROTI,ACHAR,-1,3,7,7,5,5,3,1,2,-1
8,10/08/22,0.974927912,-0.222520934,Breakfast,CHOCOS,MASALA OMELLETE (E),VERMICILLI UPMA,TOMATO CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA,APPLE","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,8,6,6,0,4,0,0
9,10/08/22,0.974927912,-0.222520934,Lunch,"GREEN SALAD, LACCHA ONION",BUTTER CHICKEN (N&P),KADHAI PANEER (D),RAJASTHANI DAL,PLAIN RICE,TAWA ROTI,"ACHAR, PAPAD",-1,1,9,9,7,7,2,1,1,-1
10,10/08/22,0.974927912,-0.222520934,Snacks,FRUIT CAKE (D),TANG,-1,-1,-1,-1,-1,-1,2,10,10,-1,-1,-1,-1,-1,-1
11,10/08/22,0.974927912,-0.222520934,Dinner,"GREEN SALAD, AMERICAN CORN SALAD",PALAK CORN (V),VEG KORMA (D),DHABA DAL,PLAIN RICE,TAWA ROTI,ACHAR,VANILA ICE CREAM (D),3,11,11,8,8,2,1,2,3
12,11/08/22,0.433883739,-0.900968868,Breakfast,CORNFLAKES,BOILED EGG(E),BESAN CHILLA (D),MINT CHUTNEY (D),"BREAD, BUTTER (D), JAM","BANANA, PEARS","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,12,9,9,0,5,0,0
13,11/08/22,0.433883739,-0.900968868,Lunch,"GREEN SALAD, NIMBU PANI",PENNE ARRABIATA (D),BHINDI MASALA (V),BLACK MALKA DAL (V),ONION RICE,"TAWA ROTI,GARLIC BREAD","ACHAR ,PAPAD",COFFEE MOUSSE (D),1,12,13,10,10,4,2,3,4
14,11/08/22,0.433883739,-0.900968868,Snacks,VEG NUGGETS,COLD COFFEE (D),-1,-1,-1,-1,-1,-1,2,13,14,-1,-1,-1,-1,-1,-1
15,11/08/22,0.433883739,-0.900968868,Dinner,"GREEN SALAD, ALOO KI CHAT",VEG AUGRATIN (D),KADHAI VEGETABLE (V),DAL BALTIC,JEERA RICE,"TAWA ROTI,GARLIC BREAD",ACHAR,-1,3,14,15,11,11,1,2,2,-1
16,12/08/22,-0.433883739,-0.900968868,Breakfast,MUESLI,FRIED EGG (E),KULCHA,MATAR(V),"BREAD, BUTTER (D), JAM","BANANA, PAPAYA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,4,16,12,12,0,6,0,0
17,12/08/22,-0.433883739,-0.900968868,Lunch,"GREEN SALAD, LACCHA ONION SALAD",PINDI CHOLEY,KHATTA MEETHA PETHA (V),-,PLAIN RICE/ BUTTER MILK,POORI,"ACHAR, PAPAD",-1,1,15,17,13,13,5,7,1,-1
18,12/08/22,-0.433883739,-0.900968868,Snacks,DAHI BHALLA (D),KHATTA METHA PANI,-1,-1,-1,-1,-1,-1,2,16,18,-1,-1,-1,-1,-1,-1
19,12/08/22,-0.433883739,-0.900968868,Dinner,"GREEN SALAD,BEETROOT&CARROT SALAD",VEG LASAGNE (V&D),NADRU KOFTA CURRY (V&P),DAL PANCHMEL,VEG PULAO,"TAWA ROTI,GARLIC BREAD",ACHAR,KALA JAMUN (D),3,17,19,14,14,6,2,2,5
20,13/08/22,-0.974927912,-0.222520934,Breakfast,CORNFLAKES,CHEESE OMELLETE (E),VEG PEANUT POHA (P),TOMATO CHUTNEY (V),"BREAD, BUTTER (D), JAM","BANANA, SHARDA","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,0,20,15,6,0,8,0,0
21,13/08/22,-0.974927912,-0.222520934,Lunch,"GREEN SALAD,AAM PANNA",SOYAKEEMA MATAR (V),TOORAI MASALA (V),RAJMA MASALA (V),JEERA RICE,TAWA ROTI,"ACHAR, PAPAD",COCONUT LADOO (D),1,18,21,16,15,1,1,1,6
22,13/08/22,-0.974927912,-0.222520934,Snacks,MASALA CORN,CHOCOLATE SHAKE (D),-1,-1,-1,-1,-1,-1,2,19,22,-1,-1,-1,-1,-1,-1
23,13/08/22,-0.974927912,-0.222520934,Dinner,"GREEN SALAD, SIRKA ONION",CHICKEN DO PYAZA (N&P&D),MATAR PANEER (D),DAL FRY,PLAIN RICE,TAWA ROTI,ACHAR,-1,3,20,23,17,16,2,1,2,-1
24,14/08/22,-0.781831482,0.623489802,Breakfast,CHOCOS,BOILED EGG(E),PAO,BHAJI (V),"BREAD, BUTTER (D), JAM","BANANA,MIX FRUITS","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","PORRIDGE (D), BOURNVITA",0,8,12,18,17,0,9,0,0
