"Dining Menu (8th August-14th August, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS
R,Eggs(Protein),BOILED EGG (E &D),EGG BHURJI (E),MASALA OMELLETE (E),BOILED EGG(E),FRIED EGG (E),CHEESE OMELLETE (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),"UTTAPAM , SAMBHAR",BANANA PANCAKE (D),VERMICILLI UPMA,BESAN CHILLA (D),KULCHA,VEG PEANUT POHA (P),PAO
A,Accompaniment,COCONUT CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",TOMATO CHUTNEY (V),MINT CHUTNEY (D),MATAR(V),TOMATO CHUTNEY (V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PEARS","BANANA,PAPAYA","BANANA,APPLE","BANANA, PEARS","BANANA, PAPAYA","BANANA, SHARDA","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,SHARBAT","GREEN SALAD, LACCHA ONION","GREEN SALAD, NIMBU PANI","GREEN SALAD, LACCHA ONION SALAD","GREEN SALAD,AAM PANNA","GREEN SALAD, THANDA JALJERRA"
L,Dry Dish (Protein & Carbs),CHICKEN DAHI WALA (N&P&D),KARELA MASALA (V),BUTTER CHICKEN (N&P),PENNE ARRABIATA (D),PINDI CHOLEY,SOYAKEEMA MATAR (V),ALOO MANGODI  KI SUBZI
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),SOYA CHAAP CURRY (D),KADHAI PANEER (D),BHINDI MASALA (V),KHATTA MEETHA PETHA (V),TOORAI MASALA (V),MIX VEGETABLE(V)
N,Pulses( Protein& Fibre),YELLOW MOONG DAL (V),DAL BHUKARA (D),RAJASTHANI DAL,BLACK MALKA DAL (V),-,RAJMA MASALA (V),DAL MAKHANI(D)
C,Rice / Curd ( Carbs/Calcium),JEERA RICE,JEERA RICE,PLAIN RICE,ONION RICE,PLAIN RICE/ BUTTER MILK,JEERA RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD",POORI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,CHOCOLATE ICE CREAM (D),,COFFEE MOUSSE (D),,COCONUT LADOO (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHILLI GARLIC POPCORN (V),VEG BURGER (D),FRUIT CAKE (D),VEG NUGGETS,DAHI BHALLA (D),MASALA CORN,BHEL PURI
A,"Beverage( Carbs,Vitamins & Minerals)",NIMBU PANI,STRAWBERRY SHAKE (D),TANG,COLD COFFEE (D),KHATTA METHA PANI,CHOCOLATE SHAKE (D),"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , BEETROOT SEASME SALAD","GREEN SALAD, MASALA LACCHA ONION","GREEN SALAD, AMERICAN CORN SALAD","GREEN SALAD, ALOO KI CHAT","GREEN SALAD,BEETROOT&CARROT SALAD","GREEN SALAD, SIRKA ONION","GREEN SALAD, PACHARI SALAD (D&P)"
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),ACHARI ALOO,PALAK CORN (V),VEG AUGRATIN (D),VEG LASAGNE (V&D),CHICKEN DO PYAZA (N&P&D),VEG AVIAL (D)
I,Gravy Dish( Protein & Carbs),LAUKI CHANA MASALA,RED MALKA  DAL,VEG KORMA (D),KADHAI VEGETABLE (V),NADRU KOFTA CURRY (V&P),MATAR PANEER (D),VEG PORIYAL (V)
N,Pulse/Noodles ( Protein),DAL TADKA,MIX RAITA (D),DHABA DAL,DAL BALTIC,DAL PANCHMEL,DAL FRY,SAMBHAR
N,Curd/Rice( Carbs & Protein),PLAIN RICE,SOYA BIRYANI,PLAIN RICE,JEERA RICE,VEG PULAO,PLAIN RICE,TOMATO RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,IDLI (V)
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,COCONUT CHUTNEY (V)
"",Dessert( Carbs& Sugar),TIRAMISU (D),,VANILA ICE CREAM (D),,KALA JAMUN (D),,PAYASAM (D)
