"Dining Menu (15th August-21st August, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,CHOCOS,MUESLI,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),MASALA OMELLETE (E),BOILED EGG(E),FRIED EGG (E),BOILED EGG(E),EGG BHURJI (E)
E,"Indian/International (Protein &Carbs)",VEG PEANUT POHA (P),PLAIN PARATHA (V),"IDLI, SAMBHAR",STUFFED PARATHA (V),MOONG DAL CHILA,HASH BROWN POTATO(D),VERMECILLI UPMA (V)
A,Accompaniment,TOMATO CHUTNEY (D),ALOO BHAJI (D),COCONUT CHUTNEY (V),CURD (D),MINT CHUTNEY (V),BAKED BEANS(V),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, WATERMELON","BANANA, PAPAYA","BANANA, SHARDA","BANANA, PEARS","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA,PEARS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,LEMON WATER","GREEN SALAD,SHARBAT","KACHUMBER SALAD, LACCHA ONION","GREEN SALAD, NIMBU PANI","GREEN SALAD, LACCHA ONIONSALAD","GREEN SALAD,AAM PANNA","GREEN SALAD, THANDA JALJERRA"
"",Dry Dish (Protein & Carbs),CREAM CHICKEN (N&P&D),MASALA KHICHIDI (V),CHICKEN BIRYANI (N&D),MAC & CHEESE (D),PINDI CHOLEY (V),PENNE SICILIANA (D),ALOO  TAMATAR  KI SABZI (V)
U,Gravy Dish(Protein & Carbs),PANEER NEILGIRI (D),"HING DHANIYE KE CHAPATEALOO(V)",PANEER AND VEG BIRYANI (D),TOORAI MASALA (V),KHATTA MEETHA PETHA (V),KATHAL KI SABZI (V),KALE CHANE (V)
N,Pulses( Protein& Fibre),DAL MAKHANI (D),-,BURANI RAITA (D),KADHI PAKODA(D),CURD (D),RAJMA MASALA (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),TIRANGA PULAO,CURD (D),MIRCHI KA SALAN (D&P),PLAIN RICE,PEAS PULAO,JEERA RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),TIRANGA BARFI (D),PHIRNEE (D),,,MOONG DAL HALWA (D),SEWAI PAYASAM (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MINT SANDWICH ( D),BHEL PURI (V),PAPDI CHAAT (D),VEG BURGER (D),SAMOSA,VEG CLUB SANDWICH (D),FRIES (V)
A,"Beverage( Carbs,Vitamins &Minerals)",COLD COFFEE (D),BANANA SHAKE (D),"TEA (D), COFFEE (D)",TANG,"TEA (D), COFFEE (D)",LEMON WATER,"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , THREE BEANSALAD","GREEN SALAD, ALOO PEANUTCHAT","GREEN SALAD, AMERICAN CORN SALAD","GREEN SALAD,CARROT &BEETROOT SALAD","GREEN SALAD, CHANA CHAT SALAD","GREEN SALAD, SIRKA ONION",THAI PAPAYA SALAD (P)
D,Dry Dish( Protein & Carbs),LAUKI VADI (V),GAJAR MATAR (V),FUISSILI PASTA IN PINK SAUCE (D),PALAK CORN(V),HOME STYLE MACRONI (V),CHICKEN MASALA (N&D&P),HONEY CHILLI POTATO (V)
I,Gravy Dish( Protein & Carbs),CAPSICUM ALOO (V),BESAN GATTA CURRY  (D),LATPATE ALOO (D),SOYAKEEMA MATAR  (V),VEG JALFREZI (V),KADHAI PANEER (D),"CANTONESE STYLE VEG IN SESAMESAUCE (V)"
N,Pulse/Noodles ( Protein),DAL PANCHMEL (V),DAL TADKA (V),DHABA DAL (V),RED MALKA DAL (V),DAL BUKHARA (V),BLACK MASOOR DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI, GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,"TAWA ROTI, GARLIC BREAD",TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),,,COCONUT LADDO (D),CHOCOLATE FUDGE CAKE (D),,,PAAN ICE CREAM (D)
"",,,,,,,,
