"Dining Menu (22nd August-28th August, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs &Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),FRIED EGG(E),MASALA OMELLETE (E),BOILED EGG (E),FRIED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,"Indian/International(Protein & Carbs)",TIKONA PARTHA,PAO (V),VEG PEANUT POHA (P),"IDLI, SAMBHAR",SUJI UPMA (V&P),HASH BROWN POTATO(D),KULCHA
A,Accompaniment,ALOO BHAJI,BHAJI,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),BAKED BEANS(V),MATAR(V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,"Fruits( Vitamins &Minerals)","BANANA, SHARDA","BANANA,PEARS","BANANA, SHARDA","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA, PEARS","BANANA, PAPAYA"
S,"Beverage( Calcium &Vitamin)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast(Protein & Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD , THREE BEAN SALAD","GREEN SALAD,LACCHA ONION","GREEN SALAD, NIMBU PANI","GREEN SALAD, LACCHA ONION SALAD","GREEN SALAD,SHARBAT","GREEN SALAD, LACCHA ONION SALAD"
L,"Dry Dish (Protein &Carbs)",BUTTER CHICKEN (N&P&D),LAUKI CHANA MASALA (V),KADHAI CHICKEN (N&P&D),FUISSILI PASTA IN PINK SAUCE (D),METHI ALOO (V),PENNE SICILIANA (D),PINDI CHOLEY (V)
U,"Gravy Dish(Protein &Carbs)",PANEER METHI MALAI (D),CAPSICUM ALOO (V),PALAK PANEER (D),ALOO BEANS  (V),DAL MAKHANI (D),MIX VEG (D),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),YELLOW DAL TADKA (V),DAL PANCHMEL (V),YELLOW MOONG DAL TADKA (V),SINDHI KADI (D),MALAI KOFTA CURRY (D),RAJMA MASALA (D),CURD (D)
C,"Rice / Curd (Carbs/Calcium)",PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PEAS PULAO
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,"TAWA ROTI, GARLIC BREAD",TAWA ROTI,"TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,LUCCHI
"",Accompaniments,"ACHAR, PAPAD",ACHAR,"ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,CHOCOLATE ICE CREAM (D),,,KALA JAMUN (D),SEWAI PAYASAM (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MASALA CORN (V),MARBLE CAKE,PAPDI CHAAT (D),MIX PAKODA (V),VEG PUFF,VEG CLUB SANDWICH (D),FRIES (V)
A,"Beverage( Carbs,Vitamins& Minerals)",COLD COFFEE (D),BANANA SHAKE (D),NIMBU PANI,TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",LEMON WATER
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUT CHAT(P)","GREEN SALAD, KACHUMBER SALAD","GREEN SALAD, BEETROOT CARROTSALAD","GREEN SALAD,RUSIAN SALAD","GREEN SALAD, CHANA CHAT SALAD","GREEN SALAD, SIRKA ONION",THAI PAPAYA SALAD (P)
D,"Dry Dish( Protein &Carbs)",BAKED VEGETABLES (D),ALOO MATAR TAMATAR  (V),SPINACH CORN LASAGNE (D),VEG AUGRATIN (D),PALAK CORN (V),DHABA MURG (N&D&P),SOYA CHILLI (V)
I,"Gravy Dish( Protein &Carbs)",SOYAKEEMA MASALA (V),SOYA CHAP MASALA (D),VEG KOFTA CURRY (P&D),KARELA DO PYAZA (V),BAINGAN MASALA (V),PANEER LABABDAR (D),VEG MANCHURIAN (V)
