"Dining Menu (29th August-4th September, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS
R,Eggs(Protein),BOILED EGG (E &D),EGG BHURJI (E),BOILED EGG (E),MASALA OMELLETE(E),FRIED EGG (E),CHEESE OMELLETE (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),"UTTAPAM , SAMBHAR",BANANA PANCAKE (D),MOONG DAL CHILLA (D),VERMICILLI UPMA (V),KULCHA,VEG PEANUT POHA (P),PAO (D)
A,Accompaniment,COCONUT CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D),TOMATO CHUTNEY (V),MATAR (V),TOMATO CHUTNEY (V),BHAJI
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PINEAPPLE","BANANA,PAPAYA","BANANA,APPLE","BANANA, SHARDA","BANANA, PAPAYA","BANANA, APPLE","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD, LACCHA ONION SALAD","GREEN SALAD, LACCHA ONION","GREEN SALAD, MEXICAN SALAD","GREEN SALAD, ALOO PEANUT CHAT (P)","GREEN SALAD,THREE BEAN SALAD","GREEN SALAD,PASTA SALAD"
L,Dry Dish (Protein & Carbs),CHICKEN KALIMIRCH (N&P&D),PINDI CHOLEY,BUTTER CHICKEN (N&P),FUSILLI PASTA IN PINK SAUCE (D),HOME STYLE MACRONI (V),MIX VEG,PALAK CORN (V)
U,Gravy Dish(Protein & Carbs),KADHAI PANEER (D),KHATTA MEETHA PETHA (V),PALAK PANEER (D),ALOO GOBHI MUTTER MASALA (V),SOYA KEEMA MATAR,MALAI KOFTA CURRY (D),SOYA CHAP CURRY (D)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL,BOONDI RAITA (D),GREEN MOONG DAL,KADI PAKODA (D),KALE CHANE,DAL MAKHANI (D),RAJMA MASALA (V)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,ONION RICE,JEERA RICE,STEAMED RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,MASALA POORI,TAWA ROTI,"TAWA ROTI,",TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,SOOJI HALWA,,KALA JAMUN (D),COCONUT LADOO (D),FRUIT CUSTARD (D),SEWAI PAYSAM (D)
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHILLI GARLIC POPCORN (V),CARROT CAKE (D),VEG PUFF (D),VEG NUGGETS,MASALA CORN,FRUIT CAKE,PAPDI CHAT (D)
A,"Beverage( Carbs,Vitamins & Minerals)",NIMBU PANI,"TEA (D), COFFEE (D)",TANG,TEA (D)  COFFEE (D),NIMBU PANI,"TEA (D), COFFEE (D)",KHATTA MEETHA PANI
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
