"Dining Menu (5th September-, 11th September, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),FRIED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),SUJI UPMA (V&P),VEG PEANUT POHA (P),CHOCOLATE PANCAKE (D),POORI,KULCHA,PAO
A,Accompaniment,TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",BHAJI (V),MATAR(V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, PAPAYA","BANANA,APPLE","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA, PINEAPPLE","BANANA, APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD, KACHUMBER SALAD","GREEN SALAD,LACCHA ONION","GREEN SALAD, THANDA JALJEERA","GREEN SALAD, LACCHA ONION SALAD","GREEN SALAD,SHARBAT","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),HANDI CHICKEN (N&P&D),LAUKI VADI (V),KADHAI CHICKEN (N&P&D),PENNE PASTA PINK SAUCE(D),HANDI VEG (V),SPINACH & CORN LASAGNE (D),CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER MAKHANI (D),BESAN GATTA CURRY (D),PANEER LABABDAR (D),METHI ALOO (V),SEV TAMATRI,ALOO CAPSICUM   (V),KHATTA MEETHA PETHA (V)
