"Dining Menu (19th September -25th September, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs &Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI(E),BOILED EGG (E),SCRAMBLED EGG (E)
E,"Indian/International(Protein & Carbs)",VERMICILLI UPMA (V),KULCHA,VEG PEANUT POHA (P),"IDLI, SAMBHAR",SUJI UPMA (V&P),HASH BROWN POTATO(D),MOONG DAL CHILLA (D)
A,Accompaniment,TOMATO CHUTNEY (V),MATAR(V),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),BAKED BEANS(V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,"Fruits( Vitamins &Minerals)","BANANA, APPLE","BANANA,PAPAYA","BANANA, PINEAPPLE","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA, APPLE","BANANA, PINEAPPLE"
S,"Beverage( Calcium &Vitamin)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast(Protein & Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD, MEDITERRANEANSALAD","GREEN SALAD,LACCHA MINTONION","GREEN SALAD,SHARBAT","GREEN SALAD, THANDA JALJERRA","GREEN SALAD, THREE BEANSALAD","GREEN SALAD, LACCHA ONIONSALAD"
L,"Dry Dish (Protein &Carbs)",CHICKEN CURRY (N&P&D),GAJAR MATAR (V),KADHAI CHICKEN (N&P&D),PENNE SICILIANA (D),ALOO BEANS (V),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY (V)
U,"Gravy Dish(Protein &Carbs)",PANEER BUTTER MASALA (D),BESAN GATTA CURRY  (D),HOME STYLE MATAR PANEER (D),MIX VEG (D),DAL BUKHARA,CAPSICUM ALOO (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),YELLOW DAL TADKA (V),CHANA DAL TADKA (V),YELLOW MOONG DAL TADKA (V),RAJMA MASALA,MALAI KOFTA CURRY (D),KADI PAKODA (D),CHHACH (D)
C,"Rice / Curd (Carbs/Calcium)",STEAM RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD",ACHAR,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,VANILLA ICE CREAM (D),,SEWAI PAYASAM (D),GULAB JAMUN (D),TRUFFLE PUDDING (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CUP CAKE (D),SAMOSA(V),MASALA CORN (V),BROWNIE (V),FRENCH FRIES (V),VEG CLUB SANDWICH (D),CAKE SLICE (D)
A,"Beverage( Carbs,Vitamins& Minerals)",COLD COFFEE (D),TEA COFFEE (D),BANANA SHAKE,TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",LEMON WATER
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUTCHAT(P)","GREEN SALAD, KACHUMBERSALAD","GREEN SALAD, BEETROOT CARROTSALAD","GREEN SALAD,RUSIAN SALAD","GREEN SALAD, CHANA CHATSALAD","GREEN SALAD, SIRKA ONION",THAI PAPAYA SALAD (P)
D,"Dry Dish( Protein &Carbs)",VEG AUGRATIN (D),ALOO MATAR TAMATAR  (V),LAUKI URAD VADI (V),VEG KORMA (D),PALAK CORN (V),DHABA MURG (N&D&P),SOYA CHILLI (V)
I,"Gravy Dish( Protein &Carbs)",SOYAKEEMA MASALA (V),SOYA CHAP MASALA (D),VEG KOFTA CURRY (P&D),KARELA DO PYAZA (V),BHINDI DO PYAZA (V),PANEER LABABDAR (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RAJASTHANI DAL (V),GREEN MOONG DAL (V),BLACK MASOOR DAL (V),DAL MAKHANI (D),RED MALKA DAL (V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,JEERA RICE,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,"ACHAR, PAPAD",ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),SAHI TUKDA (D),,ATTA LADOO (D),,,,STRAWBERRY ICE CREAM (D)
