"Dining Menu (03rd October-09th October, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),BOILED EGG(E),MASALA OMELLETE (E),FRIED EGG (E)
E,"Indian/International (Protein &Carbs)","UTTAPAM , SAMBHAR",BESAN CHILLA (D),BANANA PANCAKES (D),ALOO PARATHA,PAO (D),SUJI UPMA (V&P),VERMICILLI UPMA (V)
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),"HONEY,CHOCOLATE SYRUP",CURD (D),BHAJI,TOMATO CHUTNEY (V),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,APPLE","BANANA,PAPAYA","BANANA,PINEAPPLE","BANANA, PAPAYA","BANANA, MIX FRUITS","BANANA, APPLE","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHAONION","GREEN SALAD, MEXICAN SALAD","GREEN SALAD, LACCHA MINTONION","GREEN SALAD,PASTA SALAD","GREEN SALAD,SPROUT SALAD","GREEN SALAD, ALOO PEANUTCHAT (P)","GREEN SALAD, SIRKA ONION"
