"Dining Menu (10th October-16th October, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,CHOCOS,MUESLI,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG(E),MASALA OMELLETE (E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),CHOCOLATE PANCAKE(D),VEG PEANUT POHA (P),VERMICILLI UPMA (V),"IDLI, SAMBER (V)",PLAIN PARATHA,BESAN CHILA (D),SUJI UPMA (V&P)
A,Accompaniment,"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D),TOMATO CHUTNEY (V),COCONUT  CHUTNEY (V),ALOO BHAJI (V),MINT CHUTNEY (D),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, PAPAYA","BANANA,PINEAPPLE","BANANA,APPLE","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA(D), COFFEE (D)","MILK- HOT & COLD (D), TEA(D), COFFEE (D)","MILK- HOT & COLD (D), TEA(D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA(D), COFFEE (D)","MILK- HOT & COLD (D), TEA(D), COFFEE (D)","MILK- HOT & COLD (D), TEA(D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MASALALACCHA ONION","GREEN SALAD , THREE BEANSALAD","GREEN SALAD, LACCHA MINTONION","GREEN SALAD,GERMANMUSTARD POTATO SALAD (D)","GREEN SALAD,PASTA SALAD(D)","GREEN SALAD,SPROUT SALAD","GREEN SALAD, LACCHA ONIONSALAD"
"",Dry Dish (Protein & Carbs),CHICKEN CURRY (N&P&D),PENNE IN ALFRDO SAUCE (D),BUTTER CHICKEN (N&P),MAC & CHEESE (D),PALAK CORN(V),PENNE SICILIANA (D),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER DO PYAZA (D),CAPSICUM ALOO (V),MATAR PANEER (D),TOORAI MASALA (V),SOYA CHAP MASALA (D&P),ALOO BAIGAN (V),ACHARI ALOO
N,Pulses( Protein& Fibre),BLACK MALKA DAL (V),WHITE LOBIYA (V),CHANA DAL (V),KADHI PAKODA (D),"YELLOW MOONG DAL TADKA(V)",RAJMA MASALA (V),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,KALA JAMUN (D),,ATTA LADOO (D),,VANILLA ICE CREAM (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BHEL PURI (V),SMILEY (V),BROWNIE (D),MASALA POPCORN,MARBLE CAKE (D),COLESLAW SANDWICH (D),VEG NUGGETS (V)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),COLD COFFEE (D),"TEA (D), COFFEE (D)",TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , HAWAIIANSALAD (D)","GREEN SALAD, ALOO PEANUTCHAT","GREEN SALAD, AMERICANCORN SALAD","GREEN SALAD,KACHUMBERSALAD","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD, SIRKA ONION","GREEN SALAD, PACHARISALAD (D)"
D,Dry Dish( Protein & Carbs),"BAKED VEGETABLES INWHITE SAUCE (D)",BHINDI DO PYAZA (V),"FUISSILI PASTA IN PINKSAUCE (D)",ALOO GHOBI MASALA (V),HOME STYLE MACRONI (V),"CHICKEN DAHI WALA(N&D&P)",VEG AVIAL (D)
I,Gravy Dish( Protein & Carbs),LAUKI KOFTA (V),BESAN GATTA CURRY  (D),KARELA MASALA  (V),SOYAKEEMA MATAR  (V),MIX VEGETABLE (V),KADHAI PANEER (D),VEG PORIYAL (V)
N,Pulse/Noodles ( Protein),DHABA DAL (V),DAL TADKA (V),DAL MAKHANI (D),RED MALKA DAL (V),RAJASTHANI DAL (V),GREEN MOONG DAL (V),SAMBHAR (V)
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,TOMATO RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,VEGETABLE UTTAPAM (V)
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR
"",Dessert( Carbs& Sugar),CHOCOLATE ICE CREAM (D),,BALUSHAHI (D),,KESARI  HALWA (D),,SEWAI PAYSAM (D)
"",,,,,,,,
