"Dining Menu (17th October -23th October, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs &Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI(E),BOILED EGG (E),SCRAMBLED EGG (E)
E,"Indian/International(Protein & Carbs)",VERMICILLI UPMA (V),VEG PONGAL,VEG PEANUT POHA (P),PALAK PARATHA,"VEGETABLE IDLI, SAMBHAR",BANANA PANCAKE (D),MOONG DAL CHILLA (D)
A,Accompaniment,TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),MINT CHUTNEY (D),ALOO BHAJI (V),COCONUT CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,"Fruits( Vitamins &Minerals)","BANANA, APPLE","BANANA,PAPAYA","BANANA, PINEAPPLE","BANANA,APPLE","BANANA, PAPAYA","BANANA,MIX FRUIT","BANANA, APPLE"
S,"Beverage( Calcium &Vitamin)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast(Protein & Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD,KACHUMBER SALAD","GREEN SALAD,LACCHA MINTONION","GREEN SALAD, MEDITERRANEANSALAD","GREEN SALAD, PASTA SALAD (D)","GREEN SALAD, THREE BEANSALAD","GREEN SALAD, LACCHA ONIONSALAD"
L,"Dry Dish (Protein &Carbs)",CHICKEN CURRY (N&P&D),ALOO MATAR (V),KADHAI CHICKEN (N&P&D),KADHAI VEGETABLE (V),ALOO BEANS (V),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY (V)
U,"Gravy Dish(Protein &Carbs)",PANEER METHI MALAI (D),BESAN GATTA CURRY  (D),HOME STYLE MATAR PANEER (D),BAIGAN BHARTA (V),WHITE LOBIYA (V),CAPSICUM ALOO (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL (V),CHANA URAD DAL TADKA (V),YELLOW MOONG DAL TADKA (V),RAJMA MASALA,MALAI KOFTA CURRY (D),SINDHI KADHI (D),CHHACH (D)
C,"Rice / Curd (Carbs/Calcium)",STEAM RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD",ACHAR,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,,,MALPUA (V),SOOJI HALWA (D)
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CUP CAKE (D),RAM LADOO (V),SWIZZ ROLL (D),ALOO TIKKI (V),JHAL MURI CHAT (P),CORN SPINACH SANDWICH (D),FRUIT CAKE SLICE (D)
A,"Beverage( Carbs,Vitamins& Minerals)",COLD COFFEE (D),LEMON WATER,BANANA SHAKE,TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUTCHAT(P)","GREEN SALAD, RUSSIAN SALAD","GREEN SALAD, BEETROOT CARROTSALAD","GREEN SALAD,ALOO CHANA CHATSALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD, SIRKA ONION",THAI PAPAYA SALAD (P)
D,"Dry Dish( Protein &Carbs)",VEG AUGRATIN (D),TOORAI MASALA (V),LAUKI URAD VADI (V),PENNE SICILIANA (D),PALAK CORN (V),CHICKEN ROGAN JOSH (N&D&P),"STIR FRIED VEGETABLES INSWEET AND SOUR SAUCE (V)"
I,"Gravy Dish( Protein &Carbs)",BHINDI DO PYAZA (V),SEV MATAR TAMATAR KI SABZI (V),ALOO GOBHI ADRAKI (V),KARELA DO PYAZA (V),NADRU KOFTA CURRY (P&D),PANEER MAKHANI (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),RAJASTHANI DAL (V),DAL MAKHANI (D),BLACK MASOOR DAL (V),DAL BUKHARA (V),RED MALKA DAL (V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,JEERA RICE,ONION RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,"ACHAR, PAPAD",ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),SAHI TUKDA (D),VANILLA ICE CREAM (D),BOONDI LADOO (D),MOONG DAL HALWA (D),FRUIT CUSTARD (D),,
