"Dining Menu (31st October-06th November, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CHOCOS,CORNFLAKES,CHOCOS
R,Eggs(Protein),BOILED EGG (E),FRIED EGG (E),MASALA OMELLETE (E),EGG BHURJI(E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG (E)
E,"Indian/International (Protein &Carbs)","IDLI , SAMBHAR",VERMICILLI UPMA (V),VEG PEANUT POHA (P),KULCHA,PAO (D),ALOO PARATHA,BANANA PANCAKES (D)
A,Accompaniment,COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),MINT CHUTNEY (D),MATAR (V),BHAJI,CURD (D),"HONEY,CHOCOLATE SYRUP"
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,APPLE","BANANA, PAPAYA","BANANA, APPLE","BANANA, PINEAPPLE","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA,PINEAPPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHAONION","GREEN SALAD, MEXICAN SALAD","GREEN SALAD,MINT LACCHAONION","GREEN SALAD,PASTA SALAD","GREEN SALAD,SPROUT SALAD","GREEN SALAD, ALOO PEANUTCHAT (P)","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),CHICKEN KOLHAPURI (N&P&D),PENNE ARRABIATA (D),CHICKEN BIRYANI (N&D),"BAKED VEGETABLES IN WHITESAUCE (D)",HOME STYLE MACRONI (V),"FUISSILI P[ASTA IN BECHMALSAUCE (D)",PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),PANEER METHI MALAI (D),ALOO TAMATAR,VEGTABLE PANEER BIRYANI (D),RAJMA MASALA (V),MALAI KOFTA CURRY (D),MIX VEG (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),RED MALKA DAL,KALE CHANE,MIRCH KA SALAN (D&P),KADHAI VEGETABLE (V),CHANA DAL TADKA,KADHI PAKODA (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,BURRANI RAITA (D),STEAMED RICE,JEERA RICE,ONION RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,LUCCHI
"",Accompaniments,"ACHAR, PAPAD","ACHAR ,PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,ATTA LADOO (D),,GULAB JAMUN (D),,COCONUT BURFI (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BROWNIE (D),SMILEY,STRAWBERRY CUP CAKE (D),ALOO TIKKI,GOL GAPPE,CHEESE TOAST,FRENCH FRIES
A,"Beverage( Carbs,Vitamins &Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),KHATTA MEETA PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , GERMANMUSTARD POTATO SALAD (D)","GREEN SALAD, HAWAIIAN SALAD(D)","GREEN SALAD,MEDITERRANEANSALAD","GREEN SALAD,THREE BEANSALAD","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SIRKA ONION","THAI CUCUMBER AND CABBAGESALAD"
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),SOYA CHILLI,DUM ALOO KASHMIRI (D),KURKURI BHINDI (V),ALOO CAPSICUM (V),CHICKEN CHETINNAD (N&P&D),"STIR FRIED VEGETABLE IN BLACKBEAN SAUCE (V)"
I,Gravy Dish( Protein & Carbs),LAUKI URAD VADI MASALA (V),ALOO BAIGAN (V),KARELA MASALA (V),VEG. KORMA (D),SUBZI KOLHAPURI (V),PANEER NILGIRI(D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),ARHAR DAL TADKA,DAL PANCHMEL,DAL BHUKARA,DHABA DAL,DAL MAKHANI (D),MOONG DAL TADKA,VEG HAKKA NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,PLAIN RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),GULAB GULKAND KI KHEER (D),,SHAHI TUKDA (D),,FRUIT CUSTARD (D),,VANILA ICE CREAM (D)
