"Dining Menu (07th November-13th November, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,CHOCOS,MUESLI,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),MASALA OMELLETE (E),BOILED EGG(E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),VEG PEANUT POHA (N),"IDLI, SAMBHAR (V)",VERMICILLI UPMA (V),PALAK PARATHA,MOONG DAL CHILA (D),POORI,CHOCOLATE PANCAKE (D)
A,Accompaniment,MINT CHUTNEY (D),COCONUT  CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI (V),MINT CHUTNEY (D),BHAJI (V),"HONEY,CHOCOLATE SYRUP"
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, PAPAYA","BANANA,PINEAPPLE","BANANA,APPLE","BANANA, MIX FRUITS","BANANA, PAPAYA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHAONION","GREEN SALAD , PASTA SALAD (D)","GREEN SALAD, SIRKA ONION","GREEN SALAD, SPROUT SALAD","GREEN SALAD,MEDITERRANEANSALAD (D)","GREEN SALAD,GERMAN MUSTARDPOTATO SALAD(D)","GREEN SALAD, LACCHA ONIONSALAD"
"",Dry Dish (Protein & Carbs),CHICKEN DAHI WALA (NV/D),SAUTE VEG (V),CHICKEN KHOLAPURI (NV/D),PENNE NEPOLITANA (D),MAC & CHEESE (D),PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
