"Dining Menu (14th November -20th November, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),BOILED EGG (E),BOILED EGG (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E)
E,"Indian/International (Protein &Carbs)","VEGETABLE IDLI, SAMBHAR",BESAN CHILLA (D),"UTTAPHAM,SAMBHAR",STUFFED PARATHA,VEG PEANUT POHA (N),HASHBROWN POTATO (D),VERMICILLI UPMA (V)
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),ALOO BHAJI (V),MINT CHUTNEY (D),BAKED BEANS (V),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA,PAPAYA","BANANA,ORANGE","BANANA,APPLE","BANANA, PAPAYA","BANANA,ORANGE","BANANA, APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD, MEDITERRANEANSALAD","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,KALA CHANA CHAT","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, PASTA SALAD (D)","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),CHICKEN SAAGWALA (NV),PENNE SICILIANA (D),CHICKEN BIRYANI (NV&D),MASALA KHICHIDI,FUISSILI PASTA IN PINK SAUCE (D),MIX VEG (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER DO PYAZA (D),ACHARI BAIGAN (V),VEGTABLE PANEER BIRYANI (D),"HING DHANIYE KE CHATPATE ALOO(V)",CABBAGE MATAR (V),MALAI KOFTA CURRY (D),JEERA ALOO (V)
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),RAJMA MASALA (V),MIRCH KA SALAN (D&P),CURD (D),KADHI PAKODA (D),GREEN MOONG DAL,CHHACH (D)
C,Rice / Curd ( Carbs/Calcium),STEAM RICE,JEERA RICE,MIX RAITA (D),-,PLAIN RICE,PLAIN RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,KALA JAMUN (D),,TRUFFLE PUDDING (D),,FRUIT CUSTARD (D),SOOJI HALWA (D)
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BANANA CAKE (D),SABUDANA TIKKI (V),SWIZZ ROLL (D),KACHORI,PUMPKIN PIE (D),CHEESE TOAST (D),CORN SPINACH SANDWICH (D)
A,"Beverage( Carbs,Vitamins &Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, ALOO PEANUT CHAT(N)","GREEN SALAD,MUSHROOM SOUP (D)","GREEN SALAD,LEMON CORRIANDERSOUP","GREEN SALAD,TOMATO SHORBA","GREEN SALAD, SPROUT SALAD","GREEN SALAD, SIRKA ONION","KIMCHI SALAD,SWEET CORN SOUP"
D,Dry Dish( Protein & Carbs),VEG AUGRATIN (D),SAUTE VEG (V),"EXOTIC VEGETABLE IN TOMATO BASILSAUCE (D)",SARSON KA SAAG (V),PALAK CORN (V),CHICKEN ROGAN JOSH (NV/D),POTATO WEDGES
I,Gravy Dish( Protein & Carbs),KURKURI BHINDI (V),MAC & CHEESE (D),ALOO GOBHI MATAR (V),NADRU KOFTA CURRY (P&D),DUM ALOO KASHMIRI (D),MATAR PANEER (D),"STIR FRIED VEGETABLES IN SESAMESAUCE (V)"
N,Pulse/Noodles ( Protein),CHANA DAL TADKA (V),DAL MAKHANI (D),RED MALKA DAL (V),DAL BUKHARA (V),BLACK MASOOR DAL (V),DHABA DAL (V),SINGPORE CHILLI NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,JEERA RICE,ONION RICE,TAWA ROTI,JEERA RICE,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),,KESARI HALWA (D),,LEMON SOUFFLE (D),,
