"Dining Menu (21st November-27th November, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
"8AM-10.30AM",,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs &Fibre)",CHOCOS,MUESLI,CORNFLAKES,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,"Indian/International(Protein & Carbs)",VEG PEANUT POHA (P),"KANCHIPURAM IDLI, SAMBHAR",VERMICILLI UPMA (V),PLAIN PARATHA (V),HASHBROWN POTATO (D),KULCHA,PAO (D)
A,Accompaniment,MINT CHUTNEY (D),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI (D),BAKED BEANS (V),MATAR (V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,"Fruits( Vitamins &Minerals)","BANANA, ORANGE","BANANA,APPLE","BANANA, MIX FRUIT","BANANA,ORANGE","BANANA, PAPAYA","BANANA,ORANGE","BANANA,APPLE"
S,"Beverage( Calcium &Vitamin)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast(Protein & Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD, MEXICAN SALAD","GRUBFESTIVAL","GREEN SALAD, THREE BEANSALAD","GREEN SALAD,  MEDITERRANEANSALAD","GREEN SALAD,GREEK SALAD(D)","GREEN SALAD, LACCHA ONIONSALAD"
L,"Dry Dish (Protein &Carbs)",CHICKEN KALIMIRCH (NV/N/D),PENNE ARRABIATA (D),FUISSILI PASTA IN PINK SAUCE (D),VEGETABLE KORMA (V),HOMESTYLE MACRONI (D),PINDI CHOLEY (V),
U,"Gravy Dish(Protein &Carbs)",PALAK PANEER (D),ALOO TAMATAR,GAJAR MATAR (V),PALAK CORN (V),JEERA ALOO (V),HARE KADDU KI SABZI (V),
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),KALE CHANE,KADHI PAKODA (D),DAL MAKHANI (D),RAJMA MASALA (V),CURD (D),
C,"Rice / Curd (Carbs/Calcium)",PLAIN RICE,JEERA RICE,JEERA RICE,PLAIN RICE,JEERA RICE,ONION RICE,
H,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI,
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",
"",Dessert ( Carbs & Sugar),,ATTA LADOO (D),,KALA JAMUN (D),PHIRNI (D),,
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CUP CAKE (D),ALOO TIKI,MAGGIE,CHOCOLATE BROWNIE (D),JHAL MURI CHAT (V),PAPDI CHAT (D),CHEESE MUSHROOM TOAST (D)
A,"Beverage( Carbs,Vitamins& Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, LEMONCORIANDER SOUP","GREEN SALAD,AMERICAN CORNSALAD","GREEN SALAD, SPROUT SALAD","GREEN SALAD,MULLIGATWANYSOUP","GREEN SALAD, TOMATO SOUP","GREEN SALAD, SIRKA ONION","KOREAN KIMCHI SALAD,TOM YUMSOUP"
D,"Dry Dish( Protein &Carbs)",MIX VEGETABLE (V),VEG JALFREZI (V),"PENNE PASTA IN ALFREDO SAUCE(D)",MAC & CHEESE (D),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),"EXOTIC VEG IN HOT GARLIC SAUCE(V)"
I,"Gravy Dish( Protein &Carbs)",MALAI KOFTA CURRY (D),BAIGAN MASALA (V),DUM ALOO KASHMIRI (D),BHINDI DO PYAZA (V),ALOO GOBHI MATAR (V),KADHAI PANEER (D),VEG MANCHURIAN (V)
N,Pulse/Noodles ( Protein),DAL MAKHANI (D),RED MALKA DAL (V),YELLOW DAL TADKA,CHANA URAD DAL (V),ARHAR DAL TADKA (V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,SCHEWAN  FRIED RICE
E,"Bread ( Carbs,Fat,Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,-
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),GULAB JAMUN (D),,SEWAI PAYSAM (D),SHAHI TUKDA (D),,,STRAWBERRY ICE CREAM (D)
