"Dining Menu (28th November-04th December, 2022)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CHOCOS,CORNFLAKES,CHOCOS
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),MASALA OMELLETE (E)
E,Indian/International (Protein & Carbs),"IDLI , SAMBHAR",CHOCOLATE PANCAKE (D),VEG PEANUT POHA (N),KULCHA,ALOO PARATHA (D),VERMICILLI UPMA (V),PAO (D)
A,Accompaniment,COCONUT CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D),MATAR (V),CURD (D),TOMATO CHUTNEY (V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,APPLE","BANANA, ORANGE","BANANA, APPLE","BANANA,ORANGE","BANANA,GUAVA","BANANA, APPLE","BANANA,ORANGE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD , MEXICAN SALAD","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,MEDITERRANEAN SALAD","THAI CUCUMBER AND CABBAGE SALAD ,TOM YUM SOUP","GREEN SALAD, ALOO PEANUT CHAT (N)","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),CHICKEN CHETTINAD (NV/D),ALOO CAPSICUM (V),CHICKEN BIRYANI (NV/D),BAKED VEGETABLES IN WHITE SAUCE (D),"STIR FRIED VEGETABLES IN BLACK BEANSAUCE (N)",FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),MATAR PANEER (D),CABBAGE MATAR (V),VEGTABLE PANEER BIRYANI (D),KALE CHANE (V),HONEY CHILLI POTATO (N),MIX VEG (V),KHATTA MEETHA PETHA (V)
