"Dining Menu (05th December-11th December, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),MASALA OMELLETE (E),BOILED EGG(E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),SUJI UPMA (N),"MASALA IDLI, SAMBHAR (V)",VERMICILLI UPMA (V),METHI PARATHA,MOONG DAL CHILA (D),VEG PEANUT POHA (N),"UTTAPHAM,SAMBHAR"
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT  CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI (V),MINT CHUTNEY (D),MINT CHUTNEY (D),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, GUAVA","BANANA,ORANGE","BANANA,APPLE","BANANA, ORANGE","BANANA, GUAVA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHAONION","GREEN SALAD,MEDITERRANEANSALAD (D)","GREEN SALAD, SIRKA ONION","GREEN SALAD, SPROUT SALAD","GREEN SALAD , PASTA SALAD (D)","GREEN SALAD,GERMAN MUSTARDPOTATO SALAD(D)","GREEN SALAD, LACCHA ONIONSALAD"
"",Dry Dish (Protein & Carbs),CHICKEN CURRY (NV/D),MAC & CHEESE (D),KADHAI CHICKEN (NV/D),PENNE NEPOLITANA (D),"EXOTIC VEGETABLE IN TOMATOBASIL SAUCE (D)",PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
U,Gravy Dish(Protein & Carbs),PANEER KALI MIRCH (D),SOYA CHAP MASALA (D&P),PANEER BUTTER MASALA (D),GOBHI ADRAKI (V),GAJAR MATAR (V),BAIGAN BHARTA (V),JERRA ALOO
N,Pulses( Protein& Fibre),BLACK MALKA DAL (V),KALE CHANE,YELLOW MOONG DAL (V),KADHI PAKODA (D),RAJMA MASALA (V),DAL MAKHANI (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,AJWANI POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,,VANILLA ICE CREAM (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MARBLE CAKE (D),STUFFED KULCHA (D),JHAL MURI (N),VEG PIZZA (D),CHOCOLATE MUFFIN,MAGGIE,VEG NUGGETS (V)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , ALOO PEANUTCHAT (N)","GREEN SALAD, MULLIGATWANYSOUP","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,VEGETABLE SOUP","GREEN SALAD,CREAM OF PUMPKIN(D)","GREEN SALAD, SIRKA ONION","RAW PAPAYA SALAD(N),TOM YUMSOUP"
D,Dry Dish( Protein & Carbs),"BAKED VEGETABLES IN WHITESAUCE (D)",KURKURI BHINDI(V),FUISSILI PASTA IN PINK SAUCE (D),MIX VEG (V),HOME STYLE MIX PASTA (V),CHICKEN SAAG WALA (NV/D),SOYA CHILLI
I,Gravy Dish( Protein & Carbs),PALAK CORN (V),ALOO MATAR TAMATAR (D),SARSON KA SAAG  (V),LAUKI URAD VADI MASALA (D),METHI ALOO (V),MATAR PANEER (D),VEGETABLE HAKKA NOODLES
N,Pulse/Noodles ( Protein),DHABA DAL (V),DAL TADKA (V),CHANA DAL (V),DAL BUKHARA,RED MALKA DAL (V),RAJASTHANI DAL (V),VEGETABLE MANCHURIAN
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PLAIN RICE,ONION RICE,JEERA RICE,PLAIN RICE,SCHEZWAN FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),SHEER KHURMA (D),KESARI HALWA (D),FRUIT CUSTRAD (D),BOONDI LADOO (D),BALUSHAHI (D),,ASST PASTRY (D)
"",,,,,,,,
