"Dining Menu (12th December -18th December, 2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),MASALA OMELETTE (E),EGG BHURJI (E),BOILED EGG (E),BOILED EGG (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E)
E,"Indian/International (Protein &Carbs)","VEGETABLE IDLI, SAMBHAR",BESAN CHILLA (D),"UTTAPHAM,SAMBHAR",STUFFED PARATHA,VERMICILLI UPMA (V),HASHBROWN POTATO (D),VEG PEANUT POHA (N)
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),CURD (D),TOMATO CHUTNEY (V),BAKED BEANS (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA,SHARDA","BANANA,PAPAYA","BANANA,APPLE","BANANA,SHARDA","BANANA,PAPAYA","BANANA, APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)","MILK- HOT & COLD (D), TEA (D),COFFEE (D)"
T,"Hot Conti Breakfast( Protein &Fibre)","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHAONION","GREEN SALAD,KALA CHANA CHAT","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD, MEDITERRANEANSALAD","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, PASTA SALAD (D)","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),KADHAI CHICKEN (NV/D),MASALA KHICHIDI,CHICKEN BIRYANI (NV&D),PENNE ALFREDO (D),FUISSILI PASTA IN PINK SAUCE (D),MIX VEG (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),HING DHANIYE KE CHATPATE ALOO (V),VEGTABLE PANEER BIRYANI (D),ACHARI BAIGAN (V),CABBAGE MATAR (V),MALAI KOFTA CURRY (D),JEERA ALOO (V)
N,Pulses( Protein& Fibre),YELLOW MOONG DAL TADKA (V),CURD (D),MIRCH KA SALAN (D&P),RAJMA MASALA (V),BATHUA KADHI (D),GREEN MOONG DAL,CHHACH (D)
C,Rice / Curd ( Carbs/Calcium),STEAM RICE,-,MIX RAITA (D),JEERA RICE,PLAIN RICE,PLAIN RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
