"Dining Menu (26th December-01st January, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E)
E,Indian/International (Protein & Carbs),"IDLI , SAMBHAR",CHOCOLATE PANCAKE (D),VEG PEANUT POHA (N),KULCHA,VERMICILLI UPMA (V),PAO (D),ALOO PARATHA (D)
A,Accompaniment,COCONUT CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D),MATAR (V),TOMATO CHUTNEY (V),BHAJI (V),CURD (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,SHARDA","BANANA, PAPAYA","BANANA, APPLE","BANANA,PAPAYA","BANANA,SHARDA","BANANA, PAPAYA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD , MEXICAN SALAD","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
