"Dining Menu (02nd January-08th January,2022)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),MASALA OMELLETE (E),FRIED EGG (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E),FRIED EGG (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),"MASALA IDLI, SAMBHAR (V)",MOONG DAL CHILA (D),MIX PARATHA,KULCHA (D),VEG PEANUT POHA (N),"UTTAPHAM,SAMBHAR"
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT  CHUTNEY (V),MINT CHUTNEY (D),CURD (D),MATAR,MINT CHUTNEY (D),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, SHRADA","BANANA,APPLE","BANANA,PAPAYA","BANANA, APPLE","BANANA, SHARDA","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,MEDITERRANEAN SALAD (D)","GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD, SPROUT SALAD","GREEN SALAD , PASTA SALAD (D)","GREEN SALAD,GERMAN MUSTARD POTATOSALAD(D)","GREEN SALAD, LACCHA ONION SALAD"
