"Dining Menu (23rd January-29th January, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),"IDLI,SAMBHAR",VEG PEANUT POHA (N),ALOO PARATHA (D),"VADA, SAMBHAR",METHI PURI,PAO (D)
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),CURD (D),COCONUT CHUTNEY (V),ALOO BHAJI (V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,SHARDA","BANANA, PAPAYA","BANANA, APPLE","BANANA,PAPAYA","BANANA,SHARDA","BANANA, PAPAYA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,SIRKA ONION","GREEN SALAD , MEDITERRANEAN SALAD","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),CHICKEN MAKHANI (NV/D),ALOO METHI,CHICKEN CURRY (NV/D),MASALA JEERA ALOO (V),HOME STYLE MACRONI (V),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATTER PANEER,SINDHI KADHI (D),PANEER LABABDAR (D),RAJMA MASALA (V),GAJAR MATAR (V),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL,BLACK MASOOR DAL (V),ARHAR DAL TADKA (V),CURD (D),KALE CHANE,DAL MAKHANI (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,PLAIN RICE,JEERA RICE,STEAMED RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,,,RICE KHEER (D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CHOCOLATE CUP CAKE (D),VEG NUGGETS,MARBLE CAKE (D),JHAL MURI CHAT (N),FRIES,STUFFED KULCHA (D),SPINACH & CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),"TEA (D), COFFEE (D)",KHATTA MEETA PANI
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , MUSHROOM SOUP (D)","GREEN SALAD,LEMON CORRIANDER SOUP","GREEN SALAD,SWEET CORN SOUP","GREEN SALAD,TOMATO SHORBA","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER & CARROT SALAD,TOM YUM SOUP"
D,Dry Dish( Protein & Carbs),MAC & CHEESE (D),SOYA KEEMA MATAR,VEGETABLE LASAGNE (D),SARSON KA SAAG (V),"EXOTIC VEGETABLE IN TOMATO BASILSAUCE (D)",BUTTER CHICKEN(NV/D),VEGETABLE MANCHURIAN (V)
I,Gravy Dish( Protein & Carbs),MIX VEG (V),ACHARI BAIGAN (V),CABBAGE MATAR (V),GOBHI ALOO (V),ALOO BEANS (V),KADHAI PANEER (D),CANTONESE STYLE VEG IN BLACK BEAN SAUCE (V)
N,Pulse/Noodles ( Protein),RED MALKA DAL,DAL PANCHMEL,DAL BHUKARA,DHABA DAL,CHANA DAL TADKA,YELLOW MOONG DAL TADKA,SINGAPORIAN NOODLES
N,Curd/Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),COCONUT BURFI (D),CHOCOLATE ICE CREAM (D),SEWAI PAYSAM (D),KESARIYA HALWA (D),KALA JAMUN (D),,ASST PASTRIES (D)
