"Dining Menu (30th January-05th February,2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),EGG BHURJI (E),FRIED EGG (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E),MASALA OMELLETE (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),"IDLI,SAMBHAR",VEG PEANUT POHA (N),MOONG DAL CHILA (D),BATHUA PARATHA,KULCHA (D),VERMICILLI UPMA (V),"UTTAPHAM,SAMBHAR"
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),MINT CHUTNEY (D),ALOO BHAJI,MATAR,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, SHRADA","BANANA,APPLE","BANANA,PAPAYA","BANANA, APPLE","BANANA, SHARDA","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,MEDITERRANEAN SALAD (D)","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD, SPROUT SALAD","GREEN SALAD , PASTA SALAD (D)","GREEN SALAD,GERMAN MUSTARD POTATOSALAD(D)","GREEN SALAD, LACCHA ONION SALAD"
"",Dry Dish (Protein & Carbs),HOMESTYLE CHICKEN CURRY (NV/D),CABBAGE MATAR (V),CHICKEN BIRYANI (NV/D),PENNE NEPOLITANA (D),"EXOTIC VEGETABLE IN TOMATO BASILSAUCE (D)",PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
U,Gravy Dish(Protein & Carbs),PANEER LABABDAR (D),MASALA JEERA ALOO,VEGTABLE PANEER BIRYANI (D),GOBHI MASALA(V),MALAI KOFTA (D),BAIGAN BHARTA (V),KHATTA MEETHA PETHA
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA,ARHAR DAL TADKA,KADHI PAKODA (D),GREEN MOONG DAL (V),DAL MAKHANI (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,AJWANI POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,SOOJI HALWA (D),,,MALPUA (D),TRUFFLE PUDDING (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),VEG PUFF (D),JHAL MURI (N),FRUIT MUFFIN (D),CHEESE TOAST (D),CUP CAKES (D),SAMOSA,COLESLAW SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD , SWEET CORN SOUP","GREEN SALAD, DAL SHORBA","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,VEGETABLE MANCHOW","GREEN SALAD,CREAM OF PUMPKIN (D)","GREEN SALAD, SIRKA ONION","RAW PAPAYA SALAD(N),TOM YUM SOUP"
D,Dry Dish( Protein & Carbs),BAKED VEGETABLES IN WHITE SAUCE (D),MAC & CHEESE (D),FUISSILI PASTA IN PINK SAUCE (D),MIX VEG (V),HOME STYLE MIX PASTA (V),CHICKEN SAAG WALA (NV/D),SOYA CHILLI
I,Gravy Dish( Protein & Carbs),SOYA ALOO MATAR,SARSON KA SAAG  (V),PALAK CHANA (V),LAUKI URAD VADI MASALA (D),METHI ALOO (V),MATAR PANEER (D),"STIR FRIED VEGETABLES IN HOT GARLICSAUCE"
N,Pulse/Noodles ( Protein),DAL TADKA (V),DHABA DAL (V),YELLOW MOONG DAL (V),DAL BUKHARA,RED MALKA DAL (V),RAJASTHANI DAL (V),VEGETABLE HAKKA NOODLES
N,Rice( Carbs & Protein),PLAIN RICE,JEERA RICE,PLAIN RICE,ONION RICE,JEERA RICE,PLAIN RICE,SCHEZWAN FRIED RICE
E,"Bread ( Carbs,Fat, Protien)","TAWA ROTI,GARLIC BREAD",TAWA ROTI,TAWA ROTI,"TAWA ROTI,GARLIC BREAD","TAWA ROTI,GARLIC BREAD",TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY",
"",Dessert( Carbs& Sugar),KALA JAMUN (D),,FRUIT CUSTRAD (D),ATTA LADOO (D),,,VANILLA ICE CREAM (D)
"",,,,,,,,
