"Dining Menu (06th February-12th February, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E),EGG BHURJI (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),"MASALA IDLI, SAMBHAR (V)",VEG PEANUT POHA (N),MIX PARATHA,KULCHA (D),MOONG DAL CHILA (D),"UTTAPHAM,SAMBHAR"
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT  CHUTNEY (V),MINT CHUTNEY (D),CURD (D),MATAR,MINT CHUTNEY (D),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, APPLE","BANANA, SHRADA","BANANA,APPLE","BANANA,PAPAYA","BANANA, APPLE","BANANA, SHARDA","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD,MEDITERRANEAN SALAD (D)","GREEN SALAD, SIRKA ONION","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD , AMERICAN CORN SALAD","GREEN SALAD,GERMAN MUSTARD POTATOSALAD(D)","GREEN SALAD, LACCHA ONION SALAD"
