"Dining Menu (13th February -19th February, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (N),BANANA PANCAKE(D),VEG PEANUT POHA (N),"KANCHIPURAM IDLI, SAMBHAR",PLAIN PARATHA (V),HASHBROWN (D),BESAN CHILA (D)
A,Accompaniment,TOMATO CHUTNEY (V),"HONEY,CHOCOLATE SYRUP",MINT CHUTNEY (D),COCONUT CHUTNEY (V),ALOO BHAJI (D),BAKED BEANS,MINT SAUCE (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, KINU","BANANA,MIX FRUITS","BANANA, KINU","BANANA,PAPAYA","BANANA,MIX FRUITS","BANANA,SHARDA","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD, MEXICAN SALAD","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,SPROUT SALAD","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD,  MEDITERRANEAN SALAD","GREEN SALAD, LACCHA ONION SALAD"
