"Dining Menu (20th February-26th February, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),MASALA OMELLETE (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),"IDLI,SAMBHAR",VEG PEANUT POHA (N),VERMECILLI UPMA,"VADA, SAMBHAR",ALOO PARATHA (D),METHI PURI,PAO (D)
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),CURD (D),ALOO BHAJI (V),BHAJI (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,SHARDA","BANANA, PAPAYA","BANANA, APPLE","BANANA,SHARDA","BANANA,PAPAYA","BANANA, PAPAYA","BANANA,APPLE"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,SIRKA ONION","GREEN SALAD , MEDITERRANEAN SALAD","THAI CUCUMBER & CARROT SALAD,VEG. LUNG FUNG SOUP","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
