"Dining Menu (27th February-05th March, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",MUESLI,CORNFLAKES,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),FRIED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (V&N),VEG PEANUT POHA (N),"IDLI,SAMBHAR",MASALA PARATHA (D),CHOCOLATE PANCAKE (D),KULCHA (D),VERMICILLI UPMA (V)
A,Accompaniment,TOMATO CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),ALOO BHAJI (D),"HONEY,CHOCOLATE SYRUP",MATAR (V),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,SHARDA","BANANA, PAPAYA","BANANA,MIX FRUITS","BANANA,SHARDA","BANANA, PAPAYA","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD ,MEXICAN SALAD","GREEN SALAD,TANG","GREEN SALAD,SIRKA ONION","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD , LACCHA ONION","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),MASALA KHICHIDI,MIX PASTA IN RED SAUCE (D),HOMESTYLE CHICKEN CURRY (NV/D),LAUKI VADI (V),PAO (D),FUISSILI PASTA IN PINK SAUCE (D),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),HING DHANIYE KE CHATPATE ALOO,MIX VEG (V),PANEER LABABDAR (D),KALE CHANE,ALOO BHAJI (D),SUBJ KOLHAPURI (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),CURD (D),RAJMA,ARHAR DAL TADKA (V),CURD (D),VEGETABLE PULAO,DAL BALTIC,BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),,STEAM RICE,PLAIN RICE,STEAME RICE,MASALA CHACH (D),STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,POORI
