"Dining Menu (06th March-12th March, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),EGG BHURJI (E),BOILED EGG(E),FRIED EGG(E),FRIED EGG (E),BOILED EGG(E),MASALA OMELLETE (E),BOILED EGG(E)
E,Indian/International (Protein & Carbs),"IDLI,SAMBHAR",MOONG DAL CHILA (D),VEG PEANUT POHA (N),VERMICILLI UPMA (V),MIX PARATHA,VERMICILLI UPMA (V),"UTTAPHAM,SAMBHAR"
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),MINT CHUTNEY (D),TOMATO CHUTNEY (V),CURD (D),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA, SHRADA","BANANA,PAPAYA","BANANA,MIX FRUITS","BANANA, SHARDA","BANANA, PAPAYA","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
L,Salad( Fiber & Vitamins),"GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD, MASALA CHACH (D)","GREEN SALAD,SIRKA ONION","GREEN SALAD,PLAIN CHACH (D)","GREEN SALAD , MASALA CHACH (D)","GREEN SALAD,PLAIN CHACH (D)","GREEN SALAD, LACCHA ONION SALAD"
"",Dry Dish (Protein & Carbs),HOMESTYLE CHICKEN CURRY (NV/D),HOMESTYLE MACRONI (V),RARA CHICKEN (NV/D),FUISSILI PASTA IN PINK SAUCE (D),ALOO BEANS (V),PENNE IN ALFRDO SAUCE (D),CHOLEY MASALA
U,Gravy Dish(Protein & Carbs),PANEER LABABDAR (D),ALOO METHI (V),HOMESTYLE MATAR PANEER (D),SAUTE VEG (V),MALAI KOFTA (D),BAIGAN BHARTA (V),KHATTA MEETHA PETHA
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),DAL BUKHARA,CHANA DAL (V),RAJMA (V),GREEN MOONG DAL (V),ARHAR DAL TADKA (V),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,PLAIN RICE,PLAIN RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,PEAS PULAO
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,BHATURE (D)
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,GHUJIYA (D),,,CHOCOLATE MOUSSE (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BROWNIE (D),SWIZZ ROLL (D),STUFFED KULCHA (D),VEG PUFF (D),MASALA CORN,SMILEY,COLESLAW SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",TANG,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",NIMBU PANI
