"Dining Menu (13th March -19th March, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (N),"KANCHIPURAM IDLI, SAMBHAR",VEG PEANUT POHA (N),BANANA PANCAKE(D),MIX  PARATHA (V),HASHBROWN (D),BESAN CHILA (D)
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),"HONEY,CHOCOLATE SYRUP",CURD (D),BAKED BEANS,MINT SAUCE (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA,MIX FRUITS","BANANA,PAPAYA","BANANA,SHARDA","BANANA,MIX FRUITS","BANANA,PAPAYA","BANANA,SHARDA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD, PLAIN CHACH (D)","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD,NIMBU PANI","GREEN SALAD,  MEDITERRANEAN SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),CHICKEN MAKHANI (NV/N/D),HOMESTYLE MACRONI,CHICKEN BIRYANI (NV/D),PENNE PASTA IN MIX SAUCE (D),HOMESTYLE FUISSILI PASTA,VEGETABLE FLORENTINE (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MASALA ALOO (V),VEGTABLE PANEER BIRYANI (D),PALAK CHANA (V),DAL MAKHANI (D),SOYA CHAAP MASALA (D),MASALA AJWANI ALOO
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA (V),HYDERABADI DAL (V),KADHI PAKODA (D),MALAI KOFTA CURRY (D),ARHAR DAL TADKA (V),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,BOONDI RAITA (D),JEERA RICE,JEERA RICE,RAMPUR KI TEHRI,ONION RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,MASALA POORI
