"Dining Menu (27th March-02nd April, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),EGG BHURJI (E),FRIED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),CHOCOLATE PANCAKE (D),SUJI UPMA (V&N),"IDLI,SAMBHAR",VEG PEANUT POHA (N),MASALA PARATHA (D),HASHBROWN,VERMICILLI UPMA (V)
A,Accompaniment,"HONEY,CHOCOLATE SYRUP",TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),ALOO BHAJI (D),BAKED BEANS (V),TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,SHARDA","BANANA, PAPAYA","BANANA, PAPAYA","BANANA,MIX FRUITS","BANANA,SHARDA","BANANA, PAPAYA","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD ,MEXICAN SALAD","GREEN SALAD,SIRKA ONION","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),BUTTER CHICKEN (NV/D),MASALA KHICHIDI,HOMESTYLE CHICKEN CURRY (NV/D),JEERA ALOO,SPAGHETTI ARRABIATA (D),METHI ALOO (V),PINDI CHOLEY
U,Gravy Dish(Protein & Carbs),HOMESTYLE MATAR PANEER (D),HING DHANIYE KE CHATPATE ALOO,PANEER LABABDAR (D),KALE CHANE,ALOO BEANS (V),RAJMA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),CHANA DAL (V),CURD (D),ARHAR DAL TADKA (V),CURD (D),KADHI PAKODA (D),CURD (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,,PLAIN RICE,STEAME RICE,JEERA RICE,STEAMED RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI,TAWA ROTI,TAWA ROTI,TAWA ROTI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGERRY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,SHAHI TUKDA (D),,SOOJI HALWA (D),,FUDGE CAKE (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),BHEL PURI (N),"PAO,BHAJI (D)",MASALA POPCORN,MASALA CORN,PUMPKIN PIE (D),VEG PUFF (D),COLESLAW SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",TANG,NIMBU PANI,BANANA SHAKE (D),"TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),COLD COFFEE (D),"TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, PASTA SALAD (D)","GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,CHANA CHAT","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,MASALA LACCHA ONION","THAI CUCUMBER AND CARROT SALAD,HOT &SOUR SOUP"
D,Dry Dish( Protein & Carbs),MIX VEGETABLE (V),SOYA ALOO MATAR,MAC & CHEESE (D),HOMESTYLE PENNE PASTA,SAUTE VEG (V),CHICKEN CHETTINAD (NV/D),POTATO WEDGES
I,Gravy Dish( Protein & Carbs),LAUKI KOFTA CURRY  (V),BAIGAN ACHARI (V),GOBHI ALOO (V),TAWA SABJI,PALAK CHANA (V),PANEER DO PYAZA (D),"STIR FRIED VEGETABLES IN HOT GARLICSAUCE"
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL BHUKARA,DHABA DAL (V),DAL PANCHMEL (V),DAL MAKHANI (D),GREEN MOONG DAL (V),GARLIC CHILLI  NOODLES
N,Curd/Rice( Carbs & Protein),PEAS PULAO,JEERA RICE,PEAS PULAO,JEERA RICE,VEG PULAO,PLAIN RICE,SCHEZWAN  FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY","ACHAR,JAGERRY",
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),,BALUSAHI (D),,KALA JAMUN (D),,BUTTERSCOTCH ICE CREAM (D)
