"Dining Menu (03rd April -09th April, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),VEG PEANUT POHA (N),SUJI UPMA (V&N),"KANCHIPURAM IDLI, SAMBHAR",VERMICILLI UPMA (V),STUFFED PARATHA (V),HASHBROWN (D),MOONG DAL CHILA (D)
A,Accompaniment,MINT CHUTNEY (D),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),CURD (D),BAKED BEANS,MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,MIX FRUITS","BANANA,SHARDA","BANANA,WATEREMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,MIX FRUIT"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, SIRKA ONION","GREEN SALAD,NIMBU PANI","GREEN SALAD,MINT LACCHA ONION","RAW PAPAYA SALAD(N),GARLIC BREAD","GREEN SALAD,SHARBAT","GREEN SALAD,JALJEERA","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),CHICKEN DO PYAZA (NV/N/D),FUISSILI PASTA IN POMODORO SAUCE (D),CHICKEN BIRYANI (NV/D),ROSEMERRY POTATO,HOMESTYLE MACRONI (D),PALAK CORN (V),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER LABABDAR (D),TINDA MASALA  (V),VEGTABLE PANEER BIRYANI (D),VEGETABLE THAI CURRY (D),MASALA ALOO (V),ARHAR DAL TADKA (V),ALOO JEERA
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),KADHI PAKODA (D),HYDERABADI DAL (V),VEGETABLE HAKKA NOODLES,RAJMA (V),KASHMIRI DUM ALOO (D),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,plain RICE,MIX RAITA (D),SCHEZWAN FRIED RICE,JEERA RICE,RAMPUR KI TEHRI,ONION RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,TAWA ROTI,BEETROOT POORI
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY",,"ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,,,PAN ICE CREAM (D),,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),MARBLE CAKE(D),MASALA CORN,VANILLA CUP CAKE(D),"MATAR,KULCHA",MAGGIE,KOTHMERI KEBAB,BANANA CAKE
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),TANG,"TEA (D), COFFEE (D)",KHATTA MEETHA PANI,COLD COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, PASTA SALAD (D)","GREEN SALAD,ALOO PEANUT CHAT (N)","GREEN SALAD,NIMBU PANI","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,GERMAN MUSTARD POTATOSALAD (D)","GREEN SALAD,MASALA LACCHA ONION","GREEN SALAD,SPROUT SALAD"
D,Dry Dish( Protein & Carbs),SUBZ MAKHANI (V),MAC & CHEESE (D),ALOO MATAR,CABBAGE MATAR (V),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),HOMESTYLE MIX PASTA (D)
I,Gravy Dish( Protein & Carbs),SOYA  MATAR  (V),MASALA BAIGAN (V),VEG KORMA (V),SOYA CHAP MASALA  (V),LAUKI CHANA MASALA  (V),PANEER METHI MALAI (D),DAL MAKHANI (D)
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL BUKHARA (V),RED MALKA  DAL (V),GREEN MOONG DAL,DAL MAHARANI (V),DHABA DAL (V),MALAI KOFTA CURRY (D)
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,PLAIN RICE,JEERA RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),TRUFFLE PUDDING (D),SEWAI PAYSAM (D),,GULAB JAMUN (D),,PHIRNEE (D)
