"Dining Menu (10th April-16th April, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),EGG BHURJI (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),AJWANI POORI,"IDLI,SAMBHAR",MASALA DALIYA,PLAIN PARATHA (D),KULCHA (D),VEG PEANUT POHA (N)
A,Accompaniment,TOMATO CHUTNEY (V),BHAJI (D),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI (D),MATAR (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,SHARDA","BANANA, PAPAYA","BANANA,SHARDA","BANANA,MIX FRUITS","BANANA, PAPAYA","BANANA,MIX FRUITS"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD ,NIMBU PANI","GREEN SALAD,SIRKA ONION","GREEN SALAD,SHARBAT","GREEN SALAD,TANG","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
