"Dining Menu (01st May-07th May, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),FRIED EGG (E),EGG BHURJI (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),"IDLI,SAMBHAR",VERMECILLI UPMA,"VADA, SAMBHAR",VEG PEANUT POHA (N),MIX PARATHA (D),"UTTAPHAM,SAMBHAR",MOONG DAL CHILA (D)
A,Accompaniment,COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),CURD (D),COCONUT CHUTNEY (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA, WATERMELON","BANANA, MIX FRUIT","BANANA,MUSKMELON","BANANA,PAPAYA","BANANA, WATEMELON","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,NIMBU PANI","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,LACCHA ONION","GREEN SALAD , MEDITERRANEAN SALAD","GREEN SALAD, BUTTER MILK","GREEN SALAD,NIMBU PANI","GREEN SALAD, SIRKA ONION"
