"Dining Menu (08th May -14th May, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),VEG PEANUT POHA (N),SUJI UPMA (V&N),MASALA DALIYA,VERMICILLI UPMA (V),TIKONA PARATHA,HASHBROWN (D),BESAN CHILA (D)
A,Accompaniment,MINT CHUTNEY (D),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),ALOO BHAJI (D),BAKED BEANS (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,WATERMELON","BANANA,MUSKMELON","BANANA,WATEREMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,MUSKMELON"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,JALJEERA","GREEN SALAD ,NIMBU PANI","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,PUDINA PANI","GREEN SALAD,GREEK SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BHUNA CHICKEN (NV/N/D),MASALA KHICHIDI,CHICKEN BIRYANI (NV/D),FUISSILI PASTA IN POMODORO SAUCE (D),HOMESTYLE MACRONI (D),KASHMIRI DUM ALOO (D),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER METHI MALAI (D),JEERA ALOO (V),VEGTABLE PANEER BIRYANI (D),ALOO BEANS  (V),MIX VEG (V),RAJMA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),CURD (D),HYDERABADI DAL (V),KADHI PAKODA (D),DAL MAKHANI (D),CHACH (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,,MIX RAITA (D),STEAM RICE,STEAM RICE,STEAM RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,BHATURE
"",Accompaniments,"ACHAR, PAPAD,JAGGERY","ACHAR,JAGERRY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR, PAPAD,JAGGERY"
"",Dessert ( Carbs & Sugar),,KULFI (D),,,JALEBI,BESAN LADOO,
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),ALOO CHEESE SANDWICH (D),"PAO,BHAJI (D)",SMILEY,"MATAR,KULCHA",MAGGIE,BUN MASKA (D),BANANA CAKE
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),TANG,"TEA (D), COFFEE (D)",KHATTA MEETHA PANI,COLD COFFEE (D),"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, PASTA SALAD (D)","GREEN SALAD,SPROUT SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,ALOO PEANUT CHAT(N)","GREEN SALAD,GERMAN MUSTARD POTATO SALAD (D)","GREEN SALAD,SIRKA ONION","GREEN SALAD,CHANA CHAT"
D,Dry Dish( Protein & Carbs),SUBZ MAKHANI (D),PENNE PASTA ALFREDO (D),MAC & CHEESE (D),TINDA MASALA (V),VEGETABLE CORN LASAGNE (D),CHICKEN CURRRY (NV/N/D),PALAK CORN BHAJIA (V)
I,Gravy Dish( Protein & Carbs),SOYA  MATAR  (V),ACHARI BAIGAN (V),ALOO MATAR (V),BLACK MASOOR DAL (V),LAUKI CHANA MASALA  (V),PANEER DO PYAZA  (D),SOYA CHAP MASALA  (V)
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL BUKHARA (V),RED MALKA  DAL (V),MALAI KOFTA CURRY (D),DAL BALTIC (V),DHABA DAL (V),GREEN MOONG DAL
N,Rice( Carbs & Protein),MASALA RICE,ONION RICE,PEAS PULAO,JEERA RICE,JEERA RICE,PLAIN RICE,PLAIN RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,"ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR, PAPAD,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY","ACHAR,JAGGERY"
"",Dessert( Carbs& Sugar),ICE CREAM (D),,BALUSAI(D),COCONUT BURFI (D),,,CHOCOLATE ICE CREAM(D)
