"Dining Menu (15th May-21th May, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),EGG BHURJI (E),EGG BHURJI (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),MASALA DALIYA,"IDLI,SAMBHAR",VEG PEANUT POHA (N),ALOO PARATHA (D),"UTTAPHAM,SAMBHAR",PAO (D)
A,Accompaniment,TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),CURD (D),COCONUT CHUTNEY (V),BHAJI (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,MUSKMELON","BANANA,WATERMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA, PAPAYA","BANANA,WATERMELON"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD ,MASALA CHACH (D)","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,TANG","GREEN SALAD,SHARBAT","GREEN SALAD, SPROUTS SALAD","GREEN SALAD, SIRKA ONION"
