"Dining Menu (22nd May -28rd May, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),FRIED EGG (E),EGG BHURJI (E),BOILED EGG (E),MASALA OMELLETE (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),"KANCHIPURAM IDLI, SAMBHAR",VEG PEANUT POHA (N),"UTTAPHAM,SAMBHAR",STUFFED PARATHA (V),VERMICILLI UPMA (V),HASHBROWN (V),BESAN CHILA (D)
A,Accompaniment,COCONUT CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),CURD (D),TOMATO CHUTNEY (V),BAKED BEANS,MINT SAUCE (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA,WATERMELON","BANANA, MIX FRUIT","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,MIX FRUIT","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD,NIMBU PANI","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,SHARBAT",,"GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BUTTER CHICKEN (NV/N/D),HOMESTYLE MACRONI (V),CHICKEN BIRYANI (NV/D),HOMESTYLE MIX PASTA (V),,VEGETABLE FLORENTINE (D),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MASALA ALOO,VEGTABLE PANEER BIRYANI (D),DAL MAKHANI (D),,KASHMIRI DUM ALOO (D),KHATTA MEETHA PETHA  (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),RAJMA (V),HYDERABADI DAL (V),MALAI KOFTA CURRY (D/N),CONVOCATION LUNCH MENU,ARHAR DAL TADKA (V),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),JEERA RICE,,PEAS PULAO,RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD",,"ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,,,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CUP CAKE,KHASTA KACHORI BHAJI (D),STUFFED KULCHA (D),CHEESE TOAST (D),PAO,SPINACH CORN SANDWICH (D),FRUIT CAKE
