"Dining Menu (29th May-04th June, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E),SCRAMBLED EGG (E),BOILED EGG (E)
E,Indian/International (Protein & Carbs),VEG PEANUT POHA (N),MASALA DALIYA,SUJI UPMA (V&N),MIX PARATHA (D),HASHBROWN,POORI,"UTTAPHAM,SAMBHAR"
A,Accompaniment,MINT CHUTNEY (D),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),CURD (D),BAKED BEANS (V),BHAJI (D),COCONUT CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA, WATERMELON","BANANA, MIX FRUITS","BANANA,PAPAYA","BANANA,MIX FRUIT","BANANA, WATEMELON","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD, NIMBU PANI","GREEN SALAD,LACCHA ONION","GREEN SALAD,SARBAT","GREEN SALAD,TANG","GREEN SALAD,SPROUT SALAD","GREEN SALAD, SIRKA ONION"
