"Dining Menu (12th June-18th June, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES,MUESLI,CHOCOS,CORNFLAKES
R,Eggs(Protein),EGG BHURJI (E),MASALA OMELLETE (E),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E)
E,Indian/International (Protein & Carbs),"UTTAPHAM,SAMBHAR",VERMECILLI UPMA,MASALA DALIYA,MIX PARATHA (D),VEG PEANUT POHA (N),"IDLI,SAMBHAR",MOONG DAL CHILA (D)
A,Accompaniment,COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),CURD (D),MINT CHUTNEY (D),COCONUT CHUTNEY (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, WATEMELON","BANANA,PAPAYA","BANANA, MIX FRUIT","BANANA,WATERMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
"12.15PM-2.30PM",,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD,MEXICAN SALAD","GREEN SALAD,LACCHA ONION","GREEN SALAD,NIMBU PANI","GREEN SALAD,SHARBAT","GREEN SALAD , MEDITERRANEAN SALAD","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),CHICKEN KALI MIRCH (NV/D),HING DHANIYE KE CHATPATE ALOO (D),CHICKEN BIRYANI (NV/D),FUSSILI PASTA IN ARRABIATA SAUCE (D),MIX VEGETABLE (V),ALOO BEANS (V),CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),KALE CHANE (V),VEGTABLE PANEER BIRYANI (D),ALOO CAPSICUM (V),DAL MAKHANI (D),RAJMA MASALA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),GREEN MOONG DAL(V),PLAIN LASSI (D),DHABA DAL (V),KADI PAKODA (D),MALAI KOFTA (D),MASALA CHACH (D),BOONDI RAITA (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,BOONDI RAITA (D),STEAM RICE,STEAM RICE,JEERA RICE,PLAIN RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,,SHAHI TUKDA (D),KALA JAMUN(D),
"4.45PM-6.15PM",,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),NUGGETS,CHEESE TOAST (D),MIX PAKODA,MATAR KULCHA,STRAWBERRY SWIZZ ROLL (D),VEG PUFF (D),ALOO SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)",BANANA SHAKE (D),MANGO SHAKE (D),TEA (D)  COFFEE (D),TANG,"TEA (D), COFFEE (D)",TEA (D)  COFFEE (D),COLD COFFEE (D)
C,,,,,,,,
K,,,,,,,,
"7.30PM-10.15PM",,,,,,,,
