"Dining Menu (19th June -25th June, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),BOILED EGG (E),MASALA OMELLETE (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (V&N),"IDLI,SAMBHAR",VEG PEANUT POHA (N),"UTTAPHAM,SAMBHAR",TIKONA PARATHA,HASHBROWN (D),BESAN CHILA (D)
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),MINT CHUTNEY (D),COCONUT CHUTNEY (V),ALOO BHAJI (D),BAKED BEANS (V),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA, PAPAYA","BANANA,WATERMELON","BANANA,PAPAYA","BANANA,WATEREMELON","BANANA,PAPAYA","BANANA,WATERMELON","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD,LACCHA ONION","GREEN SALAD,SIRKA ONION","GREEN SALAD,PUDINA PANI","GREEN SALAD,NIMBU PANI","GREEN SALAD,GREEK SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BHUNA CHICKEN (NV/N/D),PAO BHAJI,CHICKEN VINDALOO (NV/N),MAC & CHEESE (D),VEG JALREZI (V),KASHMIRI DUM ALOO (D),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER METHI MALAI (D),MASALA CHACH (D),KADHAI PANEER (D),SOYA CHAAP MASALA  (D),DAL BUKHARA (V),RAJMA (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),ARHAR DAL TADKA (V),CHANA DAL TADKA,DAL BALTIC (V),MALAI KOFTA (D),CUIRD (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,MASALA RICE (N),JEERA RICE,STEAM RICE,ONION RICE,STEAM RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,MANGO MOUSSE (D),GULAB JAMUN (D),,,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),ALOO CHEESE SANDWICH (D),BHEL PURI (N),CHOCOLATE CUPCAKE (D),VEG PIZZA (D),VEG BURGER (D),CHEESE TOAST (D),GOL GAPPE
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)",MANGO TANG,STRAWBERRY SHAKE (D),TANG,COLD COFFEE (D),ORANGE TANG,KHATTA MEETHA PANI
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD, PASTA SALAD (D)","GREEN SALAD,SPROUT SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD,ALOO PEANUT CHAT(N)","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,SIRKA ONION","GREEN SALAD,CHANA CHAT"
D,Dry Dish( Protein & Carbs),ACHARI BAIGAN (V),PENNE PASTA IN ALFREDO SAUCE (D),HOMESTYLE MACRONI (D),PENNE PASTA IN BASIL PESTO SAUCE (D),KARELA DO PYAZA (V),CHICKEN CURRRY (NV/N/D),PALAK CORN BHAJIA (V)
I,Gravy Dish( Protein & Carbs),VEG KOFTA CURRY (D),BHINDI DO PYAZA (V),ALOO  MATAR  TAMATAR (V),KATHAL KI SUBZI (V),LAUKI VADI MASALA  (V),PANEER DO PYAZA  (D),BESAN GATTA CURRY (D)
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL HYDERABADI (V),DAL MAKHANI (D),DAL PANCHMEL(V),RED MALKA DAL (V),DHABA DAL (V),GREEN MOONG DAL (V)
N,Rice( Carbs & Protein),JEERA RICE,ONION RICE,STEAM RICE,JEERA RICE,JEERA RICE,PLAIN RICE,PLAIN RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR
"",Dessert( Carbs& Sugar),ICE CREAM (D),,,TRUFFLE PUDDING (D),SHAHI TUKDA (D),,CHOCOLATE ICE CREAM(D)
