"Dining Menu (03rd July -09th July, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),EGG BHURJI(E),MASALA OMELLETE (E),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),SUJI UPMA (V&N),"IDLI,SAMBHAR",VERMICILLI UPMA (V),VADA,TIKONA PARATHA,VEG PEANUT POHA (N),BESAN CHILA (D)
A,Accompaniment,TOMATO CHUTNEY (V),COCONUT CHUTNEY (V),TOMATO CHUTNEY (V),SAMBHAR (V),ALOO BHAJI (D),MINT CHUTNEY (D),MINT CHUTNEY (D)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,MANGO","BANANA,PAPAYA","BANANA,MANGO","BANANA,PAPAYA","BANANA,MANGO","BANANA,PAPAYA","BANANA,MANGO"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD ,CHANA CHAT","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,GREEK SALAD","GREEN SALAD,PUDINA PANI","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BHUNA CHICKEN (NV/N/D),MASALA KHICHIDI,CHICKEN BIRYANI (NV/D),MASALA ALOO (V),HOMESTYLE MACRONI (D),KASHMIRI DUM ALOO (D),PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PANEER METHI MALAI (D),HING DHANIYE KE CHATPATE ALOO (V),VEGTABLE PANEER BIRYANI (D),RAJMA (V),ALOO CAPSICUM (V),MIX VEG (V),KHATTA MEETHA PETHA (V)
N,Pulses( Protein& Fibre),BLACK MASOOR DAL (V),CURD (D),HYDERABADI DAL (D),CHACH (D),KADHI PAKODA (D),DAL MAKHANI (D),MASALA CHACH (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,,MIX RAITA (D),STEAM RICE,STEAM RICE,STEAM RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
