"Dining Menu (10th July -16th July, 2023)",,,,,,,,
We look forword for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CORNFLAKES,MUESLI,CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES
R,Eggs(Protein),FRIED EGG (E),MASALA OMELLETE (E),BOILED EGG (E),EGG BHURJI (E),BOILED EGG (E),EGG BHURJI(E),SCRAMBLED EGG (E)
E,Indian/International (Protein & Carbs),VERMICILLI UPMA (V),VEG PEANUT POHA (N),MOONG DAL CHILA (D),"KANCHIPURAM IDLI, SAMBHAR",STUFFED PARATHA,"UTTAPHAM,SAMBHAR",HASHBROWN (D)
A,Accompaniment,TOMATO CHUTNEY (V),MINT CHUTNEY (D),MINT SAUCE (D),COCONUT CHUTNEY (V),CURD (D),COCONUT CHUTNEY (V),BAKED BEANS (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA,PLUM","BANANA, MANGO","BANANA,PAPAYA","BANANA,PLUM","BANANA,MANGO","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD, MASALA LACHHA ONION","GREEN SALAD,CHACH","GREEN SALAD,MINT LACCHA ONION","GREEN SALAD,SHARBAT","GREEN SALAD, SPROUT SALAD","GREEN SALAD, THREE BEAN SALAD","GREEN SALAD, LACCHA ONION SALAD"
L,Dry Dish (Protein & Carbs),BUTTER CHICKEN (NV/N/D),HOMESTYLE MACRONI,CHICKEN BIRYANI (NV/D),"SPAGHETTI PASTA IN ARRABIATA SAUCE(D)",FUISSILI PASTA IN POMODORO SAUCE (D),SOYA MATAR,PINDI CHOLEY (V)
U,Gravy Dish(Protein & Carbs),PALAK PANEER (D),MASALA ALOO (V),VEGTABLE PANEER BIRYANI (D),GREEN MOONG DAL (V),ALOO CAPSICUM (V),PALAK CORN (V),HARE KADDU KI SABZI (V)
N,Pulses( Protein& Fibre),RED MALKA  DAL (V),RAJMA (V),HYDERABADI DAL (V),MALAI KOFTA CURRY (D),KADHI PAKODA (D),ARHAR DAL TADKA (V),CURD (D)
C,Rice / Curd ( Carbs/Calcium),PLAIN RICE,JEERA RICE,MIX RAITA (D),STEAM RICE,JEERA RICE,STEAM RICE,STEAM RICE
H,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,POORI
"",Accompaniments,"ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD","ACHAR, PAPAD"
"",Dessert ( Carbs & Sugar),,,,SEWAI PAYSAM (D),,FRUIT CUSTARD (D),
4.45PM-6.15PM,,,,,,,,
S,,,,,,,,
N,Snacks( Carbs),CARROT CAKE (D),KOTHMERI KEBAB,VEG BURGER (D),PAPDI CHAT (D),SWIZZ ROLL (D),DAL KACHORI,SPINACH CORN SANDWICH (D)
A,"Beverage( Carbs,Vitamins & Minerals)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)",COLD COFFEE (D),KHATTA MEETHA PANI,"TEA (D), COFFEE (D)","TEA (D), COFFEE (D)","TEA (D), COFFEE (D)"
C,,,,,,,,
K,,,,,,,,
7.30PM-10.15PM,,,,,,,,
"",Salad(Fibre& Vitamins),"GREEN SALAD,HAWAIIAN SALAD (D)","GREEN SALAD,CHANA CHAT","GREEN SALAD,MEDITERRANEAN SALAD","GREEN SALAD,AMERICAN CORN SALAD","GREEN SALAD ,ALOO PEANUT CHAT (N)","GREEN SALAD,SIRKA ONION","THAI CUCUMBER AND CARROT SALAD,MANGO TANG"
D,Dry Dish( Protein & Carbs),VEGETABLE LASAGNE (D),GRILLED VEGETABLES (V),PENNE PASTA IN ARRABIATA SAUCE (D),KURKURI BHINDI (V),MAC & CHEESE (D),CHICKEN CHETINNAD (NV/N/D),VEGETABLE MANCHURIAN
I,Gravy Dish( Protein & Carbs),LAUKI CHANA MASALA  (V),VEG KOFTA CURRY (V),TOORAI MASALA  (V),KASHMIRI DUM ALOO (D),SOYA CHAAP MASALA  (D),KADHAI PANEER (D),POTATO WEDGES
N,Pulse/Noodles ( Protein),YELLOW MOONG DAL TADKA (V),DAL BUKHARA,BLACK MASOOR DAL (V),DAL MAKHANI (D),DAL PANCHMEL(V),DHABA DAL (V),GARLIC CHILLI  NOODLES
N,Rice( Carbs & Protein),VEGETABLE PULAO,ONION RICE,JEERA RICE,PLAIN RICE,JEERA RICE,STEAM RICE,VEG FRIED RICE
E,"Bread ( Carbs,Fat, Protien)",TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,TAWA ROTI,
R,Accompaniments,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,ACHAR,
"",Dessert( Carbs& Sugar),VANILLA ICE CREAM (D),MANGO  MOUSSE (D),KALA JAMUN (D),,SAHI TUKDA (D),,STRAWBERRY ICE CREAM (D)
