"Dining Menu (26th June-02th July, 2023)",,,,,,,,
We look forward for feedback at dining@ashoka.edu.in - It helps us to keep going.,,,,,,,,
8AM-10.30AM,GENERIC NUTRIENTS,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY
B,"Cereals( Protein,Carbs & Fibre)",CHOCOS,MUESLI,CORNFLAKES,CHOCOS,CORNFLAKES,MUESLI,CORNFLAKES
R,Eggs(Protein),BOILED EGG (E),EGG BHURJI (E),FRIED EGG (E),BOILED EGG (E),EGG BHURJI (E),SCRAMBLED EGG (E),MASALA OMELLETE (E)
E,Indian/International (Protein & Carbs),VEG PEANUT POHA (N),MASALA DALIYA,SUJI UPMA (V&N),MIX PARATHA (D),VADA,CHOCOLATE PANCAKE (D),VERMECILLI UPMA (V)
A,Accompaniment,MINT CHUTNEY (D),TOMATO CHUTNEY (V),TOMATO CHUTNEY (V),CURD (D),SAMBHAR (V),"HONEY,CHOCOLATE SYRUP",TOMATO CHUTNEY (V)
K,Breads(Carbs & Fats),"BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM","BREAD, BUTTER (D), JAM"
F,Fruits( Vitamins & Minerals),"BANANA,PAPAYA","BANANA,MANGO","BANANA,PAPAYA","BANANA,MANGO","BANANA,PAPAYA","BANANA,MANGO","BANANA,PAPAYA"
S,Beverage( Calcium & Vitamin),"MILK- HOT & COLD (D), TEA (D), COFFEE(D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)","MILK- HOT & COLD (D), TEA (D), COFFEE (D)"
T,Hot Conti Breakfast( Protein & Fibre),"PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA","PORRIDGE (D), BOURNVITA"
12.15PM-2.30PM,,,,,,,,
"",Salad( Fiber & Vitamins),"GREEN SALAD,SIRKA ONION","GREEN SALAD, NIMBU PANI","GREEN SALAD,LACCHA ONION","GREEN SALAD,TANG","GREEN SALAD,SARBAT","GREEN SALAD,LACCHA ONION","GREEN SALAD, SIRKA ONION"
L,Dry Dish (Protein & Carbs),KADHAI CHICKEN (NV/D),PENNE SICILIANA (D),CHICKEN CHETTINAD (NV/D),MIX PASTA IN ALFREDO SAUCE (D),FUISSILI PASTA IN POMODORO SAUCE (D),PAO BHAJI,CHOLEY
U,Gravy Dish(Protein & Carbs),HOME STYLE MATAR PANEER (D),ALOO BEANS  (V),PANEER MAKHANI (D),PALAK CORN (V),MIX VEG (V),MASALA CHACH (D),KHATTA MEETHA PETHA  (V)
